Code,Smiles
IS00144,CCCN1C(=O)C2Cc3c([nH]c4ccccc34)[C@H](N2C(=O)C1=O)c1ccc(OC)cc1
IS00145,Fc1ccc(COc2ccc(Nc3ccsc3C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2)cc1
IS00146,FC(F)(F)Oc1ccc(NC(=O)c2sccc2Nc2cnc3ccccc3c2)cc1
IS00147,Fc1ccc(CNC(=O)c2sccc2Nc2ccc(OCc3ccc(F)cc3)cc2)cc1
IS00148,FC(F)(F)Oc1ccc(NC(=O)c2sccc2Nc2ccc3OCOc3c2)cc1
IS00149,FC(F)(F)Oc1ccc(NC(=O)c2sccc2Nc2ccc(OCc3cccc(c3)C(F)(F)F)cc2)cc1
IS00150,Fc1ccc(CNC(=O)c2sccc2Nc2ccc(OCc3cccc(c3)C(F)(F)F)cc2)cc1
IS00151,Fc1ccc(CNC(=O)c2sccc2Nc2cccc(OCc3cccc(c3)C(F)(F)F)c2)cc1
IS00153,Cc1ccc2[nH]cc(C3CCNC(=O)c4[nH]c5ccccc5c34)c2c1
IS00155,O=C1NCCC(c2c[nH]c3ccc(cc23)C#N)c2c1[nH]c1ccccc21
IS00157,Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O
IS00158,Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(F)c2c1=O
IS00159,Cc1ccc(cc1)-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(F)c2c1=O
IS00161,Cc1ccccc1-n1c(CSc2nnnn2-c2ccccc2)nc2cccc(C)c2c1=O
IS00162,Cc1cccc2nc(CSc3nnnn3-c3ccccc3)n(-c3ccccc3C(F)(F)F)c(=O)c12
IS00163,Cc1cccc2nc(Cn3nnnc3-c3ccccc3)n(-c3ccccc3C(F)(F)F)c(=O)c12
IS00164,COc1ccc(cc1)-n1nnnc1SCc1nc2cccc(C)c2c(=O)n1-c1ccccc1C(F)(F)F
IS00165,Cc1cccc2nc(COc3nnnn3-c3ccccc3)n(-c3ccccc3C(F)(F)F)c(=O)c12
IS00166,Cc1cccc2nc(CSc3nnnn3-c3ccc(OC(F)(F)F)cc3)n(-c3ccccc3C(F)(F)F)c(=O)c12
IS00167,c1cc(cs1)-n1cc(nn1)-c1ccccc1
IS00168,CCCCCCc1cn(nn1)-c1ccc(OC)cc1
IS00169,O=Cc1cccc(c1)-n1cc(nn1)-c1ccccc1
IS00170,Oc1ccc(cc1)-n1cc(nn1)-c1ccccc1
IS00171,COc1ccc(cc1)-n1cc(nn1)-c1ccccc1
IS00172,CCCCCCCCc1cn(nn1)-c1ccc(OC)cc1
IS00173,COc1ccc(cn1)-n1cc(nn1)-c1ccccc1
IS00174,c1c(nnn1-c1ccccc1)-c1ccccc1
IS00175,C1CCC(CC1)c1cn(nn1)-c1ccc2ccccc2c1
IS00176,CCCCCCCCc1cn(nn1)-c1ccc(O)cc1
IS00177,O(c1ccccc1)c1ccc(cc1)-n1cc(nn1)-c1ccccc1
IS00178,C1CCC(CC1)c1cn(nn1)-c1ccc2[nH]ccc2c1
IS00179,Oc1ccc(cc1)-n1cc(nn1)C1CCCCC1
IS00181,CCCCN1C(=O)C2Cc3c([nH]c4ccccc34)C(N2C(=O)C1=O)c1ccc(Cl)cc1
IS00182,CCCN1C(=O)C2Cc3c([nH]c4ccccc34)C(N2C(=O)C1=O)c1ccc2OCOc2c1
IS00183,CCCCCCN1C(=O)[C@H]2Cc3c([nH]c4ccccc34)C(N2C(=O)C1=O)c1ccc(OC)cc1
IS00184,O=C1[C@H]2Cc3c([nH]c4ccccc34)C(N2C(=O)C(=O)N1CC1CCCCC1)c1ccc2OCOc2c1
IS00185,COc1ccc(cc1OC)-c1nc(cc2c3ccccc3[nH]c12)C(=O)NCC1CCCCC1
IS00186,COc1cc(OC)cc(c1)-c1nc(cc2c3ccccc3[nH]c12)C(=O)NCC1CCCCC1
IS00187,CCCCNC(=O)c1cc2c3ccccc3[nH]c2c(n1)-c1cc(OC)cc(OC)c1
IS00188,CCCNC(=O)c1cc2c3ccccc3[nH]c2c(n1)-c1ccc2OCOc2c1
IS00189,CCCCNC(=O)c1cc2c3ccccc3[nH]c2c(n1)-c1ccc2OCOc2c1
IS00190,CCCCNC(=O)c1cc2c3ccccc3[nH]c2c(n1)-c1ccc(OC)cc1
IS00191,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2ccc3OCOc3c2)cc1
IS00192,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2ccc(cc2)-c2ccccc2)cc1
IS00193,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2cc3ccccc3o2)cc1
IS00194,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2cc3ccccc3s2)cc1
IS00195,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2cccc3c4ccccc4oc23)cc1
IS00196,Fc1ccc(c(F)c1)-c1ccc2ncnc(Nc3ccc(CC#N)cc3)c2c1
IS00197,O=Cc1ccccc1-c1ccc2ncnc(Nc3ccc(CC#N)cc3)c2c1
IS00198,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2ccc3ccccc3c2)cc1
IS00200,Cc1ccccc1-c1ccc2ncnc(Nc3ccc(CC#N)cc3)c2c1
IS00201,COc1cc2ncnc(Nc3ccc(CC#N)cc3)c2cc1OC
IS00202,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2ccncc2)cc1
IS00203,CCOc1ccc(cc1)-c1ccc(cc1)-c1ccc2ncnc(Nc3ccc(CC#N)cc3)c2c1
IS00204,C=Cc1ccc(cc1)-c1ccc2ncnc(Nc3ccc(CC#N)cc3)c2c1
IS00205,Fc1ccc(COc2ccc(cc2)-c2ccc3ncnc(Nc4ccc(CC#N)cc4)c3c2)cc1
IS00206,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2ccccc2)cc1
IS00207,N#CCc1ccc(Nc2ncnc3ccc(cc23)-c2ccc3OCCOc3c2)cc1
IS00208,CCn1nc(Nc2ccc(Br)cc2)c2ccc(C)nc12
IS00209,CC(C)n1nc(Nc2cccc(Cl)c2)c2cccnc12
IS00210,CCn1nc(Nc2ccc(F)cc2)c2cccnc12
IS00211,CCn1nc(Nc2ccc(Oc3ccccc3)cc2)c2ccc(C)nc12
IS00212,CC(C)n1nc(Nc2ccc(cc2)C(F)(F)F)c2cccnc12
IS00213,CCn1nc(Nc2cccc(Cl)c2)c2cccnc12
IS00214,CCCc1ccc(Nc2nn(CC)c3nc(C)ccc23)cc1
IS00215,CC(C)n1nc(Nc2ccccc2)c2cccnc12
IS00216,CCn1nc(Nc2ccc(Br)cc2)c2cccnc12
IS00217,CCn1nc(Nc2ccc(cc2)C(C)(C)C)c2ccc(C)nc12
IS00218,CC(C)n1nc(Nc2ccc(cc2)C#N)c2cccnc12
IS00219,FC(F)(F)c1ccc(Nc2nc3ccc(Cl)cc3o2)cc1
IS00220,Clc1ccc2nc(Nc3ccc(Cl)c(Cl)c3)oc2c1
IS00221,Clc1ccc(Nc2nc3ccc(Cl)cc3o2)cc1
IS00222,Cc1ccc(Nc2nc3ccccc3o2)cc1
IS00223,Clc1ccc(Nc2nc3ccccc3o2)cc1
IS00224,COc1ccc(Nc2nc3ccc(C)cc3o2)cc1
IS00225,Cc1ccc2nc(Nc3cccc(Cl)c3)oc2c1
IS00226,Cc1ccc2nc(Nc3ccccc3F)oc2c1
IS00227,Brc1ccc(Nc2nc3ccccc3s2)cc1
IS00228,Clc1ccc(Nc2nc3ccccc3s2)cc1
IS00229,Cc1ccc(Nc2nc3ccc(Cl)cc3s2)cc1
IS00230,Brc1cccc(c1)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00232,Fc1ccc(cc1Br)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00233,COc1ccc(cc1O)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00234,Clc1cccc(Cl)c1C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00235,c1csc(c1)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00236,COc1ccc(cc1)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00237,COc1ccc2[nH]cc(C(c3c[nH]c4ccc(OC)cc34)c3ccc(F)c(Br)c3)c2c1
IS00240,Brc1ccc(cc1)C(c1c[nH]c2ccc(I)cc12)c1c[nH]c2ccc(I)cc12
IS00241,COc1ccc2[nH]cc(C(c3c[nH]c4ccc(OC)cc34)c3cccc4ccccc34)c2c1
IS00242,COc1ccc2[nH]cc(C(c3c[nH]c4ccc(OC)cc34)c3cc(F)cc(F)c3)c2c1
IS00245,COc1cc(ccc1O)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00246,COc1cc(ccc1O)C(c1c[nH]c2ccc(I)cc12)c1c[nH]c2ccc(I)cc12
IS00247,Fc1cc(F)cc(c1)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00248,Oc1ccc(cc1)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
IS00249,Oc1ccc(cc1)C(c1c[nH]c2ccc(I)cc12)c1c[nH]c2ccc(I)cc12
IS00250,COc1ccc2[nH]cc(C(c3c[nH]c4ccc(OC)cc34)c3ccc(O)cc3)c2c1
IS00251,OC(=O)CC1(CCCCC1)NC(=O)OCC1c2ccccc2-c2ccccc12
IS00252,COC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCSC)NC(C)=O
IS00253,COC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(C)C)NC(=O)OC(C)(C)C
IS00254,COC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)C)C(C)C
IS00255,COC(=O)C(NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(C)=O)C(C)C)C(C)C
IS00256,CC(C)C(NC(=O)OC(C)(C)C)C(=O)NC(C(C)C)C(=O)NC(Cc1ccc(O)cc1)C(O)=O
IS00257,[H]C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)OC(C)(C)C)C(=O)OC
